year,month,day,day_index,cholera_cases,cholera_deaths,full_date
1853,06,12,1,2,1,12061853
1853,06,13,2,1,1,13061853
1853,06,14,3,0,0,14061853
1853,06,15,4,0,0,15061853
1853,06,16,5,1,0,16061853
1853,06,17,6,0,0,17061853
1853,06,18,7,1,1,18061853
1853,06,19,8,0,0,19061853
1853,06,20,9,7,4,20061853
1853,06,21,10,3,2,21061853
1853,06,22,11,2,2,22061853
1853,06,23,12,3,2,23061853
1853,06,24,13,3,1,24061853
1853,06,25,14,17,14,25061853
1853,06,26,15,4,4,26061853
1853,06,27,16,7,4,27061853
1853,06,28,17,11,7,28061853
1853,06,29,18,19,13,29061853
1853,06,30,19,9,4,30061853
1853,07,01,20,13,9,01071853
1853,07,02,21,31,19,02071853
1853,07,03,22,34,30,03071853
1853,07,04,23,42,31,04071853
1853,07,05,24,27,13,05071853
1853,07,06,25,44,34,06071853
1853,07,07,26,49,39,07071853
1853,07,08,27,49,38,08071853
1853,07,09,28,60,42,09071853
1853,07,10,29,49,33,10071853
1853,07,11,30,84,59,11071853
1853,07,12,31,73,48,12071853
1853,07,13,32,101,73,13071853
1853,07,14,33,153,120,14071853
1853,07,15,34,305,229,15071853
1853,07,16,35,309,227,16071853
1853,07,17,36,284,198,17071853
1853,07,18,37,255,180,18071853
1853,07,19,38,310,202,19071853
1853,07,20,39,333,227,20071853
1853,07,21,40,246,175,21071853
1853,07,22,41,258,172,22071853
1853,07,23,42,221,152,23071853
1853,07,24,43,209,140,24071853
1853,07,25,44,261,172,25071853
1853,07,26,45,270,206,26071853
1853,07,27,46,340,217,27071853
1853,07,28,47,277,174,28071853
1853,07,29,48,226,160,29071853
1853,07,30,49,213,141,30071853
1853,07,31,50,205,136,31071853
1853,08,01,51,147,84,01081853
1853,08,02,52,149,92,02081853
1853,08,03,53,133,81,03081853
1853,08,04,54,121,61,04081853
1853,08,05,55,120,67,05081853
1853,08,06,56,84,45,06081853
1853,08,07,57,59,35,07081853
1853,08,08,58,100,52,08081853
1853,08,09,59,78,38,09081853
1853,08,10,60,61,32,10081853
1853,08,11,61,63,37,11081853
1853,08,12,62,58,41,12081853
1853,08,13,63,47,22,13081853
1853,08,14,64,46,23,14081853
1853,08,15,65,46,27,15081853
1853,08,16,66,45,24,16081853
1853,08,17,67,34,17,17081853
1853,08,18,68,35,18,18081853
1853,08,19,69,33,17,19081853
1853,08,20,70,25,9,20081853
1853,08,21,71,20,8,21081853
1853,08,22,72,21,11,22081853
1853,08,23,73,32,18,23081853
1853,08,24,74,22,10,24081853
1853,08,25,75,29,13,25081853
1853,08,26,76,20,13,26081853
1853,08,27,77,13,6,27081853
1853,08,28,78,11,6,28081853
1853,08,29,79,21,8,29081853
1853,08,30,80,9,4,30081853
1853,08,31,81,10,6,31081853
1853,09,01,82,9,4,01091853
1853,09,02,83,8,5,02091853
1853,09,03,84,8,4,03091853
1853,09,04,85,11,8,04091853
1853,09,05,86,6,3,05091853
1853,09,06,87,5,0,06091853
1853,09,07,88,3,2,07091853
1853,09,08,89,3,1,08091853
1853,09,09,90,0,0,09091853
1853,09,10,91,2,1,10091853
1853,09,11,92,3,3,11091853
1853,09,12,93,4,0,12091853
1853,09,13,94,4,0,13091853
1853,09,14,95,8,6,14091853
1853,09,15,96,8,1,15091853
1853,09,16,97,1,0,16091853
1853,09,17,98,5,3,17091853
1853,09,18,99,6,5,18091853
1853,09,19,100,2,2,19091853
1853,09,20,101,1,1,20091853
1853,09,21,102,0,0,21091853
1853,09,22,103,0,0,22091853
1853,09,23,104,1,1,23091853
1853,09,24,105,1,1,24091853
1853,09,25,106,3,3,25091853
1853,09,26,107,0,0,26091853
1853,09,27,108,0,0,27091853
1853,09,28,109,1,0,28091853
1853,09,29,110,1,0,29091853
1853,09,30,111,1,1,30091853
1853,10,01,112,1,1,01101853
