quarter,startDayIndex,startDate,sick_total_week,dead_total_week,pop1855,pop1850,normal_incidence,normal_mortality,week_id,quarterID,cum_sick,S,R
Christianshavn,0,1853-06-12,0,0,16483,14865,0,0,0,1,0,16483,0
Christianshavn,7,1853-06-19,1,1,16483,14865,0.060668568,0.060668568,1,1,1,16482,0
Christianshavn,14,1853-06-26,4,1,16483,14865,0.24267427,0.060668568,2,1,5,16478,1
Christianshavn,21,1853-07-03,13,9,16483,14865,0.788691379,0.546017109,3,1,18,16465,5
Christianshavn,28,1853-07-10,85,63,16483,14865,5.156828247,3.82211976,4,1,103,16380,18
Christianshavn,35,1853-07-17,272,199,16483,14865,16.50185039,12.07304496,5,1,375,16108,103
Christianshavn,42,1853-07-24,427,296,16483,14865,25.90547837,17.95789601,6,1,802,15681,375
Christianshavn,49,1853-07-31,227,129,16483,14865,13.77176485,7.826245222,7,1,1029,15454,802
Christianshavn,56,1853-08-07,81,32,16483,14865,4.914153977,1.941394164,8,1,1110,15373,1029
Christianshavn,63,1853-08-14,21,13,16483,14865,1.27403992,0.788691379,9,1,1131,15352,1110
Christianshavn,70,1853-08-21,14,7,16483,14865,0.849359947,0.424679973,10,1,1145,15338,1131
Christianshavn,77,1853-08-28,8,6,16483,14865,0.485348541,0.364011406,11,1,1153,15330,1145
Christianshavn,84,1853-09-04,3,2,16483,14865,0.182005703,0.121337135,12,1,1156,15327,1153
Christianshavn,91,1853-09-11,0,0,16483,14865,0,0,13,1,1156,15327,1156
Christianshavn,98,1853-09-18,2,2,16483,14865,0.121337135,0.121337135,14,1,1158,15325,1156
Christianshavn,105,1853-09-25,1,1,16483,14865,0.060668568,0.060668568,15,1,1159,15324,1158
Frimands,0,1853-06-12,0,0,5043,4813,0,0,0,2,0,5043,0
Frimands,7,1853-06-19,0,0,5043,4813,0,0,1,2,0,5043,0
Frimands,14,1853-06-26,0,0,5043,4813,0,0,2,2,0,5043,0
Frimands,21,1853-07-03,2,1,5043,4813,0.396589332,0.198294666,3,2,2,5041,0
Frimands,28,1853-07-10,2,1,5043,4813,0.396589332,0.198294666,4,2,4,5039,2
Frimands,35,1853-07-17,13,8,5043,4813,2.577830656,1.586357327,5,2,17,5026,4
